activity_id,name,start_date,sport_type,distance,workout_time_min,calories,total_elevation_gain,start_lat,start_long,end_lat,end_long,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score,effort_score_label,effort_score_rank
9146446596,Afternoon Workout,2023-05-26,Functional-Cardio Workout,0,11.52,104,0,,NaN,,NaN,0,0,32,128.6,157,5.75,2,1,5,15,1,10,15,5,5,1,1,59,No Effort,1
9146370760,Afternoon Trail Run,2023-05-26,TrailRun,12,98.58,958,196,30.40001448,-97.68483066,30.40085125,-97.68378401,8.0676,15.318,31,152.9,171,12.315,8,25,50,90,10,20,25,10,35,15,20,300,High Effort,4
9138235397,Morning Workout,2023-05-25,Functional-Cardio Workout,0,27.57,293,0,,NaN,,NaN,0,0,28,138.4,158,5.502,5,1,20,25,1,15,15,5,25,1,1,109,Low Effort,2
9134841414,Afternoon Run,2023-05-24,Run,10.86,70.62,840,66,30.27256731,-97.77242817,30.27266513,-97.77243169,9.522,17.37,29,153.2,178,6.408181818,11,25,50,80,5,20,30,5,35,25,20,295,High Effort,4
9127523668,Lunch Run,2023-05-23,Run,15.52,108.27,1206,86,30.27224972,-97.77180246,30.27263571,-97.77240152,8.8704,17.5824,33,153.9,169,6.7575,16,30,50,100,5,20,25,5,35,15,20,305,High Effort,4
9116553075,Evening Workout,2023-05-22,Functional-Cardio Workout,0,27.52,222,0,,NaN,,NaN,0,0,30,122.8,154,5.494,5,1,20,25,1,10,15,5,25,1,1,104,Low Effort,2
9121698511,Afternoon Workout,2023-05-22,Functional-Cardio Workout,0,29.6,259,0,,NaN,,NaN,0,0,30,128.9,164,29.58,1,1,20,25,1,10,15,15,5,1,1,94,No Effort,1
9102729006,Afternoon Run,2023-05-19,Run,11,72.75,876,70,30.2723954,-97.77216431,30.27247963,-97.77260922,9.1512,15.6168,33,158.4,182,6.055833333,12,25,50,80,5,30,30,5,35,25,20,305,High Effort,4
9097521399,Evening Workout,2023-05-18,Functional-Cardio Workout,0,27.07,238,0,,NaN,,NaN,0,0,32,127,152,6.7575,4,1,20,25,1,10,15,5,20,1,1,99,No Effort,1
9089552781,Lunch Trail Run,2023-05-17,TrailRun,5.05,37.03,412,67,30.38361772,-97.65659722,30.38360322,-97.65635985,8.5716,17.0172,31,152.3,168,9.255,4,10,30,40,5,20,25,5,20,15,20,190,High Effort,4
9085384121,Evening Run,2023-05-16,Run,15.78,121.53,1165,76,30.27210941,-97.77162183,30.27272958,-97.7724741,7.9416,16.6248,29,145.5,166,7.59,16,30,50,100,5,20,25,5,35,15,20,305,High Effort,4
9078268977,Afternoon Workout,2023-05-15,Functional-Cardio Workout,0,21.78,267,0,,NaN,,NaN,0,0,31,149.4,173,4.354,5,1,15,25,1,20,25,1,25,1,1,115,Low Effort,2
9078148873,Afternoon Trail Run,2023-05-15,TrailRun,11.11,91.02,853,94,30.40078931,-97.68397721,30.40110681,-97.68425373,7.7004,14.112,30,145.9,164,12.99857143,7,25,50,80,5,20,15,10,35,15,15,270,High Effort,4
9055041333,Afternoon Run,2023-05-11,Run,9.82,79.72,753,84,30.38909588,-97.73590168,30.38902078,-97.73584544,7.8732,15.57,32,146.8,171,7.966,10,10,50,70,5,20,25,5,35,15,20,255,High Effort,4
9048595441,Afternoon Workout,2023-05-10,Functional-Cardio Workout,0,42.68,356,0,,NaN,,NaN,0,0,31,125.5,154,7.105,6,1,35,35,1,10,15,5,35,1,1,139,Medium Effort,3
9042446363,Weighted run under the rain,2023-05-09,Run,7.64,58.03,638,369,30.38915833,-97.73571602,30.38886739,-97.73600796,7.92,13.2228,22,154.9,176,7.245,8,10,45,60,20,20,30,5,35,15,15,255,High Effort,4
9036256935,Afternoon Run,2023-05-08,Run,11.6,94.7,929,112,30.38901365,-97.73572097,30.38896244,-97.73599455,7.956,15.3648,35,152.8,168,7.886666667,12,25,50,90,10,20,25,5,35,15,20,295,High Effort,4
9029351348,Lunch Workout,2023-05-07,Functional-Cardio Workout,0,27.62,260,0,,NaN,,NaN,0,0,30,131.1,158,4.6,6,1,20,25,1,15,15,1,35,1,1,115,Low Effort,2
9022907017,Lunch Workout,2023-05-06,Functional-Cardio Workout,0,76,571,0,,NaN,,NaN,0,0,27,133.9,182,5.42,14,1,50,50,1,15,30,5,35,1,1,189,High Effort,4
9011906558,Afternoon Run,2023-05-04,Run,8.01,61.53,633,76,30.38875792,-97.73566565,30.38990993,-97.73846026,8.352,15.39,31,147.5,163,7.67625,8,10,50,60,5,20,15,5,35,15,20,235,High Effort,4
9005276391,Afternoon Workout,2023-05-03,Functional-Cardio Workout,0,23.43,276,0,,NaN,,NaN,0,0,31,145,171,4.674,5,1,15,25,1,20,25,1,25,1,1,115,Low Effort,2
8999159524,Afternoon Run,2023-05-02,Run,10.2,75.87,787,67,30.38905548,-97.73574351,30.38884501,-97.7360026,8.7408,17.0172,30,150,170,6.890909091,11,25,50,70,5,20,25,5,35,15,20,270,High Effort,4
