,activity_id,name,start_date,sport_type,distance,workout_time_min,calories,total_elevation_gain,start_lat,start_long,end_lat,end_long,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_lap_time,lap_count,pace,pace_score,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_lap_time_score,lap_count_score,avg_speed_score,max_speed_score,effort_score,effort_score_label,effort_score_rank
0,10810033987,Afternoon Workout,2024-02-21,Functional-Cardio Workout,0.0,30.26,298.0,0.0,,,,,0.0,0.0,30.0,132.8,175.0,3.92,7,0.0,0,0,25,25,0,15,30,1,35,0,0,131,Medium Effort,3
1,10804513136,Evening Workout,2024-02-21,Functional-Cardio Workout,0.0,32.5,420.0,0.0,,,,,0.0,0.0,29.0,151.4,174.0,6.42,5,0.0,0,0,25,40,0,20,25,5,25,0,0,140,Medium Effort,3
2,10793103601,Morning Workout,2024-02-19,Functional-Cardio Workout,0.0,21.16,221.0,0.0,,,,,0.0,0.0,25.0,132.3,179.0,5.18,4,0.0,0,0,15,25,0,15,30,5,20,0,0,110,Low Effort,2
3,10783927933,Evening Workout,2024-02-18,Functional-Cardio Workout,0.0,60.1,429.0,0.0,,,,,0.0,0.0,26.0,117.8,155.0,5.31,11,0.0,0,0,50,40,0,10,15,5,35,0,0,155,High Effort,4
4,10770299093,Afternoon Workout,2024-02-15,Functional-Cardio Workout,0.0,38.3,362.0,0.0,,,,,0.0,0.0,29.0,130.0,161.0,3.58,10,0.0,0,0,30,35,0,15,15,1,35,0,0,131,Medium Effort,3
5,10759959127,Morning Flow,2024-02-14,Functional-Cardio Workout,0.0,31.24,204.0,0.0,,,,,0.0,0.0,27.0,107.0,149.0,7.7,4,0.0,0,0,25,25,0,10,15,5,20,0,0,100,Low Effort,2
6,10756748628,Afternoon Workout,2024-02-13,Functional-Cardio Workout,0.0,20.15,242.0,0.0,,,,,0.0,0.0,28.0,141.6,178.0,3.79,5,0.0,0,0,15,25,0,15,30,1,25,0,0,111,Low Effort,2
7,10747031345,Morning Workout,2024-02-12,Functional-Cardio Workout,0.0,16.52,196.0,0.0,,,,,0.0,0.0,25.0,138.4,163.0,3.14,5,0.0,0,0,10,15,0,15,15,1,25,0,0,81,No Effort,1
8,10737692474,Evening Workout,2024-02-11,Functional-Cardio Workout,0.0,26.52,187.0,0.0,,,,,0.0,0.0,28.0,109.8,156.0,5.22,5,0.0,0,0,20,15,0,10,15,5,25,0,0,90,No Effort,1
9,10697198078,Lunch Pickleball,2024-02-04,Pickleball,1.11,24.12,207.0,0.0,,,,,2.754,14.2992,28.0,99.5,120.0,41.15,1,21.44,0,2,15,25,0,5,10,20,5,5,15,102,Low Effort,2
10,10680733020,Morning Workout,2024-02-02,Functional-Cardio Workout,0.0,32.14,306.0,0.0,,,,,0.0,0.0,29.0,127.4,165.0,5.94,5,0.0,0,0,25,35,0,10,25,5,25,0,0,125,Medium Effort,3
11,10677316412,Afternoon Workout,2024-02-01,Functional-Cardio Workout,0.0,60.13,452.0,0.0,,,,,0.0,0.0,30.0,122.4,161.0,4.51,12,0.0,0,0,50,40,0,10,15,1,35,0,0,151,High Effort,4
12,10671134782,Afternoon Workout,2024-01-31,Functional-Cardio Workout,0.0,60.01,676.0,0.0,,,,,0.0,0.0,29.0,142.3,185.0,4.43,13,0.0,0,0,50,60,0,15,35,1,35,0,0,196,High Effort,4
13,10660107760,Morning Workout,2024-01-30,Functional-Cardio Workout,0.0,55.48,497.0,0.0,,,,,0.0,0.0,26.0,128.5,165.0,4.86,11,0.0,0,0,45,40,0,10,25,1,35,0,0,156,High Effort,4
14,10653616594,Morning Workout,2024-01-29,Functional-Cardio Workout,0.0,56.36,472.0,0.0,,,,,0.0,0.0,24.0,126.6,164.0,7.93,7,0.0,0,0,45,40,0,10,15,5,35,0,0,150,High Effort,4
15,10635856697,Afternoon Workout,2024-01-26,Functional-Cardio Workout,0.0,64.11,607.0,0.0,,,,,0.0,0.0,28.0,133.1,167.0,6.9,9,0.0,0,0,50,60,0,15,25,5,35,0,0,190,High Effort,4
16,10629684540,Afternoon Workout,2024-01-25,Functional-Cardio Workout,0.0,65.34,523.0,0.0,,,,,0.0,0.0,29.0,122.4,169.0,7.08,9,0.0,0,0,50,50,0,10,25,5,35,0,0,175,High Effort,4
17,10620155607,Weightlifting - Cardio w/ the amigos,2024-01-24,Functional-Cardio Workout,0.0,57.5,619.0,0.0,,,,,0.0,0.0,30.0,146.6,179.0,7.94,7,0.0,0,0,45,60,0,20,30,5,35,0,0,195,High Effort,4
18,10610368952,Afternoon Yoga,2024-01-22,Yoga,0.0,52.44,251.0,0.0,,,,,0.0,0.0,33.0,99.8,142.0,52.44,1,0.0,0,0,0,25,0,5,15,20,5,0,0,70,No Effort,1
19,10603329582,Lunch Workout,2024-01-21,Functional-Cardio Workout,0.0,59.57,487.0,0.0,,,,,0.0,0.0,25.0,122.6,168.0,57.09,1,0.0,0,0,45,40,0,10,25,20,5,0,0,145,Medium Effort,3
20,10597365330,Afternoon Workout,2024-01-20,Functional-Cardio Workout,0.0,43.38,416.0,0.0,,,,,0.0,0.0,25.0,131.5,160.0,42.0,1,0.0,0,0,35,40,0,15,15,20,5,0,0,130,Medium Effort,3
21,10590694930,Afternoon Workout,2024-01-19,Functional-Cardio Workout,0.0,55.41,685.0,0.0,,,,,0.0,0.0,27.0,150.6,174.0,4.84,11,0.0,0,0,45,60,0,20,25,1,35,0,0,186,High Effort,4
22,10578474140,Afternoon Workout,2024-01-17,Functional-Cardio Workout,0.0,56.18,552.0,0.0,,,,,0.0,0.0,25.0,133.8,172.0,11.07,5,0.0,0,0,45,50,0,15,25,10,25,0,0,170,High Effort,4
23,10570230744,Morning Workout,2024-01-16,Functional-Cardio Workout,0.0,50.28,511.0,0.0,,,,,0.0,0.0,20.0,137.5,157.0,50.28,1,0.0,0,0,0,50,0,15,15,20,5,0,0,105,Low Effort,2
24,10564768191,Lunch Yoga,2024-01-15,Yoga,0.0,22.22,83.0,0.0,,,,,0.0,0.0,28.0,90.1,123.0,22.22,1,0.0,0,0,15,5,0,5,10,15,5,0,0,55,No Effort,1
25,10558775744,Morning Workout,2024-01-14,Functional-Cardio Workout,0.0,45.08,377.0,0.0,,,,,0.0,0.0,21.0,145.9,173.0,37.49,1,0.0,0,0,40,35,0,20,25,20,5,0,0,145,Medium Effort,3
26,10545311012,Lunch Workout,2024-01-12,Functional-Cardio Workout,0.0,25.32,260.0,0.0,,,,,0.0,0.0,27.0,130.8,153.0,4.9,5,0.0,0,0,20,25,0,15,15,1,25,0,0,101,Low Effort,2
27,10539681683,Afternoon Workout,2024-01-11,Functional-Cardio Workout,0.0,32.37,391.0,0.0,,,,,0.0,0.0,31.0,144.7,175.0,6.39,5,0.0,0,0,25,35,0,15,30,5,25,0,0,135,Medium Effort,3
28,10534801137,Evening Workout,2024-01-11,Functional-Cardio Workout,0.0,30.03,292.0,0.0,,,,,0.0,0.0,28.0,130.0,162.0,30.02,1,0.0,0,0,25,25,0,15,15,20,5,0,0,105,Low Effort,2
