,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score
distance_score,1,0.229019768,0.412756641,0.588421978,0.135180678,-0.172026137,-0.10538613,0.23093748,0.700733344,0.715315627,0.60818077
workout_time_score,0.229019768,1,0.648370877,0.284916625,0.129048563,0.166366345,0.215539904,0.128088489,0.191033259,0.2234503,0.716391527
calorie_score,0.412756641,0.648370877,1,0.382954334,0.404409162,0.362884847,0.126833173,0.22984956,0.338959147,0.294834976,0.87286658
total_elevation_gain_score,0.588421978,0.284916625,0.382954334,1,0.060192218,-0.152534154,0.07796631,0.044304624,0.604506882,0.699655212,0.540899019
average_heartrate_score,0.135180678,0.129048563,0.404409162,0.060192218,1,0.659900956,-0.263152141,0.362241526,0.293583558,0.020962488,0.518155582
max_heartrate_score,-0.172026137,0.166366345,0.362884847,-0.152534154,0.659900956,1,-0.130384774,0.270637056,-0.112218113,-0.301050858,0.361654288
avg_time_per_lap_score,-0.10538613,0.215539904,0.126833173,0.07796631,-0.263152141,-0.130384774,1,-0.804418692,-0.096865373,0.03319619,-0.025878825
lap_count_score,0.23093748,0.128088489,0.22984956,0.044304624,0.362241526,0.270637056,-0.804418692,1,0.227698926,0.088177057,0.414957292
avg_speed_score,0.700733344,0.191033259,0.338959147,0.604506882,0.293583558,-0.112218113,-0.096865373,0.227698926,1,0.817869598,0.622621105
max_speed_score,0.715315627,0.2234503,0.294834976,0.699655212,0.020962488,-0.301050858,0.03319619,0.088177057,0.817869598,1,0.545525601
effort_score,0.60818077,0.716391527,0.87286658,0.540899019,0.518155582,0.361654288,-0.025878825,0.414957292,0.622621105,0.545525601,1
