,distance,workout_time_min,calories,total_elevation_gain,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,effort_score
distance,1,0.660313467,0.5437101,0.695895376,0.8918428,0.816057266,-0.346273536,-0.103829542,-0.197144016,0.081914878,0.169501234,0.701302322
workout_time_min,0.660313467,1,0.675294376,0.449665991,0.451605804,0.454969444,-0.170664716,-0.029453557,0.00439736,0.399024795,0.067588426,0.661651109
calories,0.5437101,0.675294376,1,0.413159372,0.340810352,0.23933745,-0.168063347,0.212299528,0.177617595,0.267767121,0.097966942,0.864624055
total_elevation_gain,0.695895376,0.449665991,0.413159372,1,0.619406027,0.56919103,-0.231301199,0.008618121,-0.040743912,0.186011485,0.071374567,0.535996613
average_speed_km/h,0.8918428,0.451605804,0.340810352,0.619406027,1,0.904697397,-0.362662173,-0.136281852,-0.252690346,0.021086472,0.111708624,0.610193302
max_speed_km/h,0.816057266,0.454969444,0.23933745,0.56919103,0.904697397,1,-0.302325804,-0.215761715,-0.304106015,0.061745133,0.085355645,0.49961728
average_temp,-0.346273536,-0.170664716,-0.168063347,-0.231301199,-0.362662173,-0.302325804,1,-0.083570435,-0.016679722,0.225135187,-0.150708279,-0.294667395
average_heartrate,-0.103829542,-0.029453557,0.212299528,0.008618121,-0.136281852,-0.215761715,-0.083570435,1,0.952429586,-0.285761872,0.049426125,0.284729392
max_heartrate,-0.197144016,0.00439736,0.177617595,-0.040743912,-0.252690346,-0.304106015,-0.016679722,0.952429586,1,-0.197664415,-0.006897498,0.214390483
avg_time_per_lap,0.081914878,0.399024795,0.267767121,0.186011485,0.021086472,0.061745133,0.225135187,-0.285761872,-0.197664415,1,-0.341216509,0.083150675
lap_count,0.169501234,0.067588426,0.097966942,0.071374567,0.111708624,0.085355645,-0.150708279,0.049426125,-0.006897498,-0.341216509,1,0.17302971
effort_score,0.701302322,0.661651109,0.864624055,0.535996613,0.610193302,0.49961728,-0.294667395,0.284729392,0.214390483,0.083150675,0.17302971,1
