,id,name,distance,elapsed_time,total_elevation_gain,sport_type,start_date,achievement_count,athlete_count,start_latlng,end_latlng,average_speed,max_speed,average_temp,average_heartrate,max_heartrate,average_cadence,elev_high,elev_low
0,9939802653,Afternoon Run,5996.9,2193,42.0,Run,2023-09-28T21:31:24Z,7,1,"[30.400892570614815, -97.68466645851731]","[30.401184177026153, -97.68474499695003]",2.835,5.264,34.0,156.9,175.0,87.2,211.4,196.8
1,9933791721,Afternoon Workout,0.0,1440,0.0,Workout,2023-09-27T22:45:24Z,0,1,[],[],0.0,0.0,33.0,148.7,168.0,,0.0,0.0
2,9927103494,Afternoon Trail Run,5734.3,2981,70.0,TrailRun,2023-09-26T21:40:05Z,2,1,"[30.40038554929197, -97.68403890542686]","[30.400530472397804, -97.68348041921854]",2.184,3.742,32.0,147.3,166.0,83.6,210.2,188.8
3,9919975714,Afternoon Workout,0.0,1510,0.0,Workout,2023-09-25T20:14:18Z,0,1,[],[],0.0,0.0,34.0,150.6,167.0,,0.0,0.0
4,9893694843,Lunch Workout,0.0,1315,0.0,Workout,2023-09-21T16:30:12Z,0,1,[],[],0.0,0.0,33.0,156.0,175.0,,0.0,0.0
5,9888868702,Afternoon Yoga,0.0,3685,0.0,Yoga,2023-09-20T19:35:15Z,0,1,[],[],0.0,0.0,33.0,98.9,134.0,,0.0,0.0
6,9882992587,Afternoon Trail Run,5501.0,2501,77.0,TrailRun,2023-09-19T22:29:31Z,4,1,"[30.400496860966086, -97.68349190242589]","[30.40053558535874, -97.68367731012404]",2.206,5.466,33.0,146.5,175.0,84.0,212.0,186.8
7,9876079067,Afternoon Workout,0.0,2007,0.0,Workout,2023-09-18T21:21:59Z,0,1,[],[],0.0,0.0,34.0,148.2,174.0,,0.0,0.0
8,9855741829,Run + lifting,0.0,2702,0.0,Workout,2023-09-15T18:03:53Z,0,1,[],[],0.0,0.0,32.0,157.4,175.0,,0.0,0.0
9,9850629317,Speed workout,5011.9,1712,36.0,Run,2023-09-14T21:37:56Z,4,1,"[30.400897935032845, -97.68394477665424]","[30.40127486921847, -97.68695404753089]",2.94,4.056,30.0,160.1,176.0,87.5,212.4,191.6
10,9840997774,Kettle bell basics and sprints,0.0,1634,0.0,Workout,2023-09-13T12:35:19Z,0,1,[],[],0.0,0.0,30.0,141.7,177.0,,0.0,0.0
11,9827851210,Uphill training,8005.3,3449,86.0,TrailRun,2023-09-11T12:41:19Z,0,1,"[30.264106197282672, -97.77346325106919]","[30.257660513743758, -97.78719012625515]",2.567,4.72,27.0,151.6,177.0,85.3,197.8,144.0
12,9822904571,Heat Bootcamp,0.0,3201,0.0,Workout,2023-09-10T15:06:22Z,0,1,[],[],0.0,0.0,29.0,155.3,184.0,,0.0,0.0
13,9816834848,3 round fun,0.0,1462,0.0,Workout,2023-09-09T18:23:14Z,0,1,[],[],0.0,0.0,34.0,153.7,177.0,,0.0,0.0
14,9811288116,Evening Hike,2547.1,2535,25.0,Hike,2023-09-09T00:16:14Z,0,1,"[30.399418948218226, -97.68528822809458]","[30.40118208155036, -97.68392449244857]",1.063,1.799,35.0,87.0,111.0,50.4,206.2,190.6
15,9801556587,Morning Workout,0.0,2305,0.0,Workout,2023-09-07T12:05:50Z,0,1,[],[],0.0,0.0,28.0,147.5,187.0,,0.0,0.0
16,9795479023,Morning Workout,0.0,1474,0.0,Workout,2023-09-06T14:08:55Z,0,1,[],[],0.0,0.0,33.0,134.7,161.0,,0.0,0.0
17,9788322994,Speed Morning Trail Run,5023.1,1830,65.0,TrailRun,2023-09-05T13:30:14Z,2,1,"[30.400368282571435, -97.68366968259215]","[30.397142339497805, -97.68488857895136]",2.763,4.474,30.0,168.0,185.0,84.4,211.8,188.2
18,9784117073,Afternoon Workout,0.0,1268,0.0,Workout,2023-09-04T19:39:11Z,0,1,[],[],0.0,0.0,35.0,147.5,172.0,,0.0,0.0
19,9777333053,Recovery Run,6231.2,3209,45.0,Run,2023-09-03T16:50:04Z,2,2,"[30.27288523502648, -97.77215173467994]","[30.273014064878225, -97.77238014154136]",2.026,3.646,35.0,145.4,167.0,76.7,142.4,130.6
20,9764229125,Afternoon Workout,0.0,1376,0.0,Workout,2023-09-01T20:36:17Z,0,1,[],[],0.0,0.0,35.0,149.8,178.0,,0.0,0.0
21,9744164009,Lunch Workout,0.0,658,0.0,Workout,2023-08-29T17:09:11Z,0,1,[],[],0.0,0.0,34.0,121.8,151.0,,0.0,0.0
22,9732845417,CMDX Marathon,42775.0,20149,148.0,Run,2023-08-27T12:59:21Z,8,1,"[19.33041893877089, -99.19031392782927]","[19.431260526180267, -99.13358478806913]",2.189,6.801,22.0,157.8,182.0,84.5,2295.4,2236.6
23,9707039692,CDMX Run,5012.0,2741,16.0,Run,2023-08-23T17:14:11Z,0,1,"[19.424832109361887, -99.18783355504274]","[19.423120692372322, -99.17512935586274]",2.178,4.891,24.0,141.9,161.0,86.4,2257.2,2243.4
24,9698330316,Morning Workout,0.0,5085,0.0,Workout,2023-08-22T11:54:18Z,0,1,[],[],0.0,0.0,26.0,142.0,182.0,,0.0,0.0
25,9692608320,Lunch Workout,0.0,816,0.0,Workout,2023-08-21T16:08:59Z,0,1,[],[],0.0,0.0,34.0,136.7,162.0,,0.0,0.0
26,9671956681,Morning Workout,0.0,1534,0.0,Workout,2023-08-18T11:33:11Z,0,1,[],[],0.0,0.0,31.0,137.2,160.0,,0.0,0.0
27,9665473596,Morning Workout,0.0,1720,0.0,Workout,2023-08-17T11:23:08Z,0,1,[],[],0.0,0.0,32.0,140.3,166.0,,0.0,0.0
28,9659097091,Morning Workout,0.0,1768,0.0,Workout,2023-08-16T12:24:08Z,0,1,[],[],0.0,0.0,31.0,136.6,161.0,,0.0,0.0
29,9651688339,Morning Workout,0.0,1335,0.0,Workout,2023-08-15T11:16:25Z,0,1,[],[],0.0,0.0,31.0,123.8,148.0,,0.0,0.0
30,9645392881,Morning Run,16002.3,6424,74.0,Run,2023-08-14T11:16:11Z,13,1,"[30.26517773978412, -97.75796041823924]","[30.26536976918578, -97.7582158986479]",2.531,6.1,30.0,155.2,184.0,86.1,138.8,127.4
31,9625731999,Morning Workout,0.0,1611,0.0,Workout,2023-08-11T11:18:30Z,0,1,[],[],0.0,0.0,32.0,129.5,158.0,,0.0,0.0
32,9619226019,Morning Workout,0.0,1811,0.0,Workout,2023-08-10T11:20:05Z,0,1,[],[],0.0,0.0,31.0,150.5,186.0,,0.0,0.0
33,9612501945,Morning Workout,0.0,1629,0.0,Workout,2023-08-09T11:21:14Z,0,1,[],[],0.0,0.0,31.0,140.4,171.0,,0.0,0.0
34,9605637875,Morning Workout,0.0,1610,0.0,Workout,2023-08-08T11:19:04Z,0,1,[],[],0.0,0.0,32.0,148.0,166.0,,0.0,0.0
35,9599909621,Morning Run,4940.3,1694,25.0,Run,2023-08-07T13:38:27Z,16,1,"[30.27232138440013, -97.77281583286822]","[30.27235323563218, -97.77279512956738]",2.939,4.942,30.0,167.1,183.0,86.6,143.6,133.8
36,9581640121,Morning Run,8015.1,3196,9.0,Run,2023-08-04T13:22:03Z,0,1,"[27.466765707358718, -99.50670101679862]","[27.467823838815093, -99.50634822249413]",2.508,3.942,32.0,170.7,183.0,85.2,127.8,121.2
37,9574662561,Morning Workout,0.0,1981,0.0,Workout,2023-08-03T11:25:18Z,0,1,[],[],0.0,0.0,32.0,132.4,175.0,,0.0,0.0
38,9568125034,Morning Workout,0.0,900,0.0,Workout,2023-08-02T11:26:40Z,0,1,[],[],0.0,0.0,32.0,158.2,176.0,,0.0,0.0
39,9516715905,Morning Workout,0.0,242,0.0,Workout,2023-07-25T07:55:04Z,0,1,[],[],0.0,0.0,27.0,71.3,76.0,,0.0,0.0
40,9487083410,Morning Workout,0.0,1203,0.0,Workout,2023-07-20T11:39:02Z,0,1,[],[],0.0,0.0,32.0,129.4,155.0,,,
41,9484847960,Evening Workout,0.0,1032,0.0,Workout,2023-07-20T00:58:54Z,0,1,[],[],0.0,0.0,35.0,136.0,158.0,,,
42,9473897463,Morning Workout,0.0,1916,0.0,Workout,2023-07-18T11:23:13Z,0,1,[],[],0.0,0.0,31.0,132.8,165.0,,,
43,9469207311,Lunch Workout,0.0,1368,0.0,Workout,2023-07-17T16:50:26Z,0,1,[],[],0.0,0.0,33.0,147.5,169.0,,,
44,9451612797,Afternoon Workout,0.0,1170,0.0,Workout,2023-07-14T19:39:03Z,0,1,[],[],0.0,0.0,35.0,129.0,161.0,,,
