,activity_id,sport_type,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score
0,8885873542,Run,10,35,40,5,20,15,5,35,15,15,195
1,8879705626,Functional-Cardio Workout,1,25,35,1,20,30,5,35,1,1,154
2,8875392009,Functional-Cardio Workout,1,10,15,1,20,30,5,10,1,1,94
3,8869251524,Functional-Cardio Workout,1,15,25,1,20,25,1,25,1,1,115
4,8862861001,Yoga,1,10,15,1,10,15,10,5,1,1,69
5,8857166258,Functional-Cardio Workout,1,20,35,1,15,25,5,25,1,1,129
6,8849667738,Functional-Cardio Workout,1,20,35,1,15,25,1,35,1,1,135
7,8834354201,WeightTraining,1,25,35,1,10,15,20,5,1,1,114
8,8828116209,Functional-Cardio Workout,1,20,25,1,15,25,5,25,1,1,119
9,8821557138,Functional-Cardio Workout,1,35,35,1,10,25,5,25,1,1,139
10,8815449705,Run,10,50,70,5,35,35,5,35,15,15,275
11,8806111423,Functional-Cardio Workout,1,30,35,1,20,35,1,35,1,1,160
12,8799988893,Functional-Cardio Workout,1,15,25,1,20,25,1,25,1,1,115
13,8794698723,Functional-Cardio Workout,1,25,35,1,15,25,5,35,1,1,144
14,8789089604,Functional-Cardio Workout,1,20,35,1,15,25,5,25,1,1,129
15,8771323929,Functional-Cardio Workout,1,15,25,1,15,25,1,35,1,1,120
16,8766877503,Functional-Cardio Workout,1,30,35,1,15,25,5,25,1,1,139
17,8760859967,Functional-Cardio Workout,1,20,35,1,20,30,5,25,1,1,139
18,8749434921,Functional-Cardio Workout,1,45,40,1,15,30,5,35,1,1,174
19,8726475508,Functional-Cardio Workout,1,15,25,1,15,25,1,25,1,1,110
20,8721204362,Functional-Cardio Workout,1,25,35,1,15,25,5,25,1,1,134
21,8715744482,MountainBikeRide,25,50,50,15,10,15,20,10,20,25,240
22,8710745438,Functional-Cardio Workout,1,40,35,1,10,15,5,25,1,1,134
23,8698197610,Functional-Cardio Workout,1,25,35,1,15,25,5,25,1,1,134
24,8693453841,Hike,5,50,80,25,10,15,20,5,5,10,225
25,8688907431,MountainBikeRide,20,50,50,10,10,15,20,5,15,20,215
26,8683360176,Functional-Cardio Workout,1,50,40,1,10,15,10,35,1,1,164
27,8677673116,Functional-Cardio Workout,1,40,40,1,10,15,5,35,1,1,149
28,8672944578,Walk,5,50,40,5,5,10,15,20,5,10,165
29,8672611987,Ride,1,40,15,1,5,10,20,5,5,5,107
30,8655132144,Functional-Cardio Workout,1,30,40,1,15,25,5,35,1,1,154
31,8650266138,Functional-Cardio Workout,1,45,50,1,20,30,20,5,1,1,174
32,8644587607,Functional-Cardio Workout,1,30,35,1,20,30,5,25,1,1,149
33,8639260773,MountainBikeRide,20,0,40,10,10,15,15,5,20,25,160
34,8633145882,Run,10,30,40,5,30,25,5,35,30,20,230
35,8611884034,Functional-Cardio Workout,1,1,5,1,5,10,1,35,1,1,61
36,8606708676,Functional-Cardio Workout,1,30,35,1,15,25,5,25,1,1,139
37,8600932618,Functional-Cardio Workout,1,10,25,1,20,25,1,25,1,1,110
38,8600850460,MountainBikeRide,20,50,50,10,15,25,20,5,15,20,230
39,8594917333,Run,10,35,50,5,30,25,5,35,15,15,225
40,8587870096,Functional-Cardio Workout,1,10,25,1,15,25,1,25,1,1,105
41,8587667353,Run,10,35,40,5,20,25,5,35,15,20,210
42,8578513389,MountainBikeRide,10,45,25,10,10,15,20,5,10,20,170
43,8573739485,Run,10,25,35,5,20,25,5,35,30,20,210
44,8567397324,Functional-Cardio Workout,1,35,40,1,15,35,5,35,1,1,169
45,8562727659,MountainBikeRide,20,50,50,10,15,15,20,5,15,20,220
46,8556464236,Functional-Cardio Workout,1,25,35,1,20,25,5,25,1,1,139
47,8545358774,MountainBikeRide,20,50,40,10,10,15,20,5,15,25,210
48,8538434119,TrailRun,10,50,50,20,15,30,10,25,10,15,235
49,8534745466,Functional-Cardio Workout,1,0,40,1,15,35,5,35,1,1,134
50,8529443857,MountainBikeRide,20,45,40,10,10,15,15,5,15,25,200
51,8522824035,Functional-Cardio Workout,1,45,50,1,15,25,10,20,1,1,169
52,8517243835,Functional-Cardio Workout,1,20,35,1,15,25,5,25,1,1,129
53,8517243161,Run,5,5,15,5,20,25,5,5,30,20,135
54,8504441796,Run,25,50,80,5,35,35,5,35,25,20,315
55,8499814764,Functional-Cardio Workout,1,30,25,1,10,25,5,35,1,1,134
56,8495754250,Functional-Cardio Workout,1,25,35,1,20,25,5,35,1,1,149
57,8490538352,Functional-Cardio Workout,1,35,40,1,20,30,5,35,1,1,169
58,8484883685,Functional-Cardio Workout,1,15,15,1,10,15,1,25,1,1,85
59,8484745146,Run,10,45,50,5,20,25,5,35,15,20,230
60,8479818986,Functional-Cardio Workout,1,35,40,1,15,25,5,35,1,1,159
61,8465791898,Functional-Cardio Workout,1,15,25,1,10,15,1,25,1,1,95
