,activity_id,sport_type,distance,workout_time_min,calories,total_elevation_gain,average_speed_km/h,max_speed_km/h,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score
0,8885873542,Run,5.5,41.83,449.0,48.0,8.744399999999999,14.5728,151.4,164.0,6.966666667,6,10,35,40,5,20,15,5,35,15,15
1,8879705626,Functional-Cardio Workout,0.0,31.97,344.0,0.0,0.0,0.0,146.7,178.0,5.318333333,6,1,25,35,1,20,30,5,35,1,1
2,8875392009,Functional-Cardio Workout,0.0,16.2,194.0,0.0,0.0,0.0,150.0,179.0,5.393333333,3,1,10,15,1,20,30,5,10,1,1
3,8869251524,Functional-Cardio Workout,0.0,20.45,246.0,0.0,0.0,0.0,147.2,168.0,4.076,5,1,15,25,1,20,25,1,25,1,1
4,8862861001,Yoga,0.0,19.78,106.0,0.0,0.0,0.0,100.6,140.0,19.78,1,1,10,15,1,10,15,10,5,1,1
5,8857166258,Functional-Cardio Workout,0.0,28.65,304.0,0.0,0.0,0.0,139.9,170.0,5.724,5,1,20,35,1,15,25,5,25,1,1
6,8849667738,Functional-Cardio Workout,0.0,28.93,312.0,0.0,0.0,0.0,138.8,170.0,4.813333333,6,1,20,35,1,15,25,1,35,1,1
7,8834354201,WeightTraining,0.0,33.1,310.0,0.0,0.0,0.0,129.0,164.0,33.1,1,1,25,35,1,10,15,20,5,1,1
8,8828116209,Functional-Cardio Workout,0.0,26.2,258.0,0.0,0.0,0.0,139.5,173.0,5.23,5,1,20,25,1,15,25,5,25,1,1
9,8821557138,Functional-Cardio Workout,0.0,41.62,345.0,0.0,0.0,0.0,126.8,174.0,8.326,5,1,35,35,1,10,25,5,25,1,1
10,8815449705,Run,8.29,61.07,768.0,31.0,8.1432,12.78,165.7,187.0,6.777777778,9,10,50,70,5,35,35,5,35,15,15
11,8806111423,Functional-Cardio Workout,0.0,37.9,363.0,0.0,0.0,0.0,145.9,188.0,4.7275,8,1,30,35,1,20,35,1,35,1,1
12,8799988893,Functional-Cardio Workout,0.0,21.6,246.0,0.0,0.0,0.0,145.4,170.0,4.312,5,1,15,25,1,20,25,1,25,1,1
13,8794698723,Functional-Cardio Workout,0.0,32.7,331.0,0.0,0.0,0.0,138.5,168.0,5.438333333,6,1,25,35,1,15,25,5,35,1,1
14,8789089604,Functional-Cardio Workout,0.0,27.27,320.0,0.0,0.0,0.0,143.5,170.0,5.444,5,1,20,35,1,15,25,5,25,1,1
15,8771323929,Functional-Cardio Workout,0.0,23.32,264.0,0.0,0.0,0.0,143.7,171.0,3.878333333,6,1,15,25,1,15,25,1,35,1,1
16,8766877503,Functional-Cardio Workout,0.0,38.32,377.0,0.0,0.0,0.0,133.5,171.0,7.654,5,1,30,35,1,15,25,5,25,1,1
17,8760859967,Functional-Cardio Workout,0.0,29.08,361.0,0.0,0.0,0.0,152.0,184.0,5.802,5,1,20,35,1,20,30,5,25,1,1
18,8749434921,Functional-Cardio Workout,0.0,55.62,461.0,0.0,0.0,0.0,141.3,184.0,9.265,6,1,45,40,1,15,30,5,35,1,1
19,8726475508,Functional-Cardio Workout,0.0,21.72,247.0,0.0,0.0,0.0,139.6,165.0,4.336,5,1,15,25,1,15,25,1,25,1,1
20,8721204362,Functional-Cardio Workout,0.0,34.07,323.0,0.0,0.0,0.0,132.2,170.0,6.808,5,1,25,35,1,15,25,5,25,1,1
