id,name,distance,workout_time_sec,total_elevation_gain,workout_type,start_date,achievement_count,athlete_count,start_latlng,end_latlng,average_speed,max_speed,average_temp,average_heartrate,max_heartrate,average_cadence,elev_high,elev_low,aprox_calories_burned,workout_time_min
8771323929,Afternoon Workout,0,1399,0,Functional-Cardio Workout,2023-03-24,0,1,[],[],0,0,34,143.7,171,NaN,NaN,NaN,316,23.32
8766877503,Evening Workout,0,2299,0,Functional-Cardio Workout,2023-03-23,0,1,[],[],0,0,34,133.5,171,NaN,NaN,NaN,460,38.32
8760859967,Afternoon Workout,0,1745,0,Functional-Cardio Workout,2023-03-22,0,1,[],[],0,0,34,152,184,NaN,NaN,NaN,431,29.08
8749434921,Afternoon Workout,0,3337,0,Functional-Cardio Workout,2023-03-20,0,1,[],[],0,0,24,141.3,184,NaN,NaN,NaN,734,55.62
8726475508,Afternoon Workout,0,1303,0,Functional-Cardio Workout,2023-03-16,0,1,[],[],0,0,29,139.6,165,NaN,NaN,NaN,281,21.72
8721204362,Afternoon Workout,0,2044,0,Functional-Cardio Workout,2023-03-15,0,1,[],[],0,0,30,132.2,170,NaN,NaN,NaN,403,34.07
8715744482,Afternoon Mountain Bike Ride,19.84,5718,260,MountainBikeRide,2023-03-14,22,1,"[30.40146061219275, -97.68447660841048]","[30.40148257277906, -97.68487382680178]",3.962,9.644,22,117.6,144,NaN,224,195.6,917,95.3
8710745438,Afternoon Workout,0,2790,0,Functional-Cardio Workout,2023-03-13,0,1,[],[],0,0,27,127.2,163,NaN,NaN,NaN,515,46.5
8698197610,Lunch Workout,0,1878,0,Functional-Cardio Workout,2023-03-11,0,1,[],[],0,0,29,144.2,173,NaN,NaN,NaN,427,31.3
8693453841,Afternoon Hike,8.78,11193,452,Hike,2023-03-10,6,1,"[30.27608041651547, -97.8236420173198]","[30.27573642320931, -97.8233901411295]",1.081,2.262,30,113.7,152,51.9,275.8,181.6,1685,186.55
8688907431,Afternoon Mountain Bike Ride,13.48,4504,160,MountainBikeRide,2023-03-09,16,1,"[30.401425156742334, -97.68480601720512]","[30.40150453336537, -97.68491330556571]",3.629,7.426,29,125.9,156,NaN,215.6,188.8,816,75.07
8683360176,Afternoon Workout,0,6429,0,Functional-Cardio Workout,2023-03-08,0,1,[],[],0,0,29,106.7,158,NaN,NaN,NaN,855,107.15
8677673116,Afternoon Workout,0,2910,0,Functional-Cardio Workout,2023-03-07,0,1,[],[],0,0,31,127.2,158,NaN,NaN,NaN,537,48.5
8672944578,Evening Walk,6.29,6739,43,Walk,2023-03-07,0,1,"[30.38993197493255, -97.73823511786759]","[30.389002170413733, -97.73581366986036]",1.103,1.947,27,82.1,98,50.2,265,244.4,479,112.32
8672611987,Afternoon Ride,0,2875,0,Ride,2023-03-06,0,1,[],[],0,0,30,80.8,91,NaN,NaN,NaN,195,47.92
8655132144,Afternoon Workout,0,2255,0,Functional-Cardio Workout,2023-03-03,0,1,[],[],0,0,28,140.6,173,NaN,NaN,NaN,492,37.58
8650266138,Afternoon Workout,0,3473,0,Functional-Cardio Workout,2023-03-02,0,1,[],[],0,0,29,146.1,181,NaN,NaN,NaN,806,57.88
8644587607,Afternoon Workout,0,2214,0,Functional-Cardio Workout,2023-03-01,0,1,[],[],0,0,30,148.2,177,NaN,NaN,NaN,525,36.9
8639260773,Afternoon Mountain Bike Ride,12.71,3200,169,MountainBikeRide,2023-02-28,11,1,"[30.401550130918622, -97.6859537512064]","[30.401377798989415, -97.68642079085112]",4.303,9.694,28,128.1,157,NaN,270.6,244.2,597,53.33
8633145882,Afternoon Run,6.09,2370,59,Run,2023-02-27,3,1,"[30.38898054510355, -97.73563295602798]","[30.388930588960648, -97.73604970425367]",2.802,5.188,28,156,169,84.8,266.4,239.4,609,39.5
8611884034,Afternoon Workout,0,386,0,Functional-Cardio Workout,2023-02-23,0,1,[],[],0,0,31,77.3,84,NaN,NaN,NaN,23,6.43
8606708676,Afternoon Workout,0,2125,0,Functional-Cardio Workout,2023-02-22,0,1,[],[],0,0,31,135.2,167,NaN,NaN,NaN,435,35.42
8600932618,Afternoon Workout,0,996,0,Functional-Cardio Workout,2023-02-21,0,1,[],[],0,0,31,153.7,173,NaN,NaN,NaN,250,16.6
8600850460,Afternoon Mountain Bike Ride,14.01,4619,187,MountainBikeRide,2023-02-21,11,1,"[30.401328848674893, -97.68461868166924]","[30.40147377178073, -97.68483233638108]",3.725,8.325,31,133.2,166,NaN,219.8,190.2,922,76.98
8594917333,Weighted Run,6.08,2621,91,Run,2023-02-20,0,1,"[30.3889175131917, -97.73592129349709]","[30.38914575241506, -97.73582858964801]",2.324,3.717,31,158.2,174,83.9,262.8,239.4,688,43.68
8587870096,Morning Workout,0,1181,0,Functional-Cardio Workout,2023-02-19,0,1,[],[],0,0,24,141.1,171,NaN,NaN,NaN,259,19.68
8587667353,Weighted Run,6.13,2500,82,Run,2023-02-19,0,1,"[30.3885461948812, -97.73615305311978]","[30.38905682042241, -97.73590033873916]",2.455,4.272,17,145.4,167,84.4,265.4,241.8,575,41.67
8578513389,Afternoon Mountain Bike Ride,6.63,3566,103,MountainBikeRide,2023-02-17,5,1,"[30.401115361601114, -97.68433654680848]","[30.40118400938809, -97.68444433808327]",3.15,7.532,19,109,133,NaN,216.2,187.4,495,59.43
8573739485,Afternoon Run,5.02,2018,53,Run,2023-02-16,0,1,"[30.38702990859747, -97.73675520904362]","[30.388092482462525, -97.73673626594245]",2.835,4.323,16,150.9,166,86.3,273.6,241.6,492,33.63
8567397324,Afternoon Workout,0,2598,0,Functional-Cardio Workout,2023-02-15,0,1,[],[],0,0,30,140.8,186,NaN,NaN,NaN,568,43.3
